time,step,quantity,kperp,value
0.0,0,u_perp,0.5,0.0
0.0,0,u_perp,1.5,0.0
0.0,0,u_perp,2.5,0.0
0.0,0,u_perp,3.5,0.0
0.0,0,u_perp,4.5,0.0
0.0,0,u_perp,5.5,0.0
0.0,0,u_perp,6.5,0.0
0.0,0,u_perp,7.5,0.0
0.0,0,u_perp,8.5,0.0
0.0,0,u_perp,9.5,0.0
0.0,0,u_perp,10.5,0.0
0.0,0,u_perp,11.5,0.0
0.0,0,u_perp,12.5,0.0
0.0,0,u_perp,13.5,0.0
0.0,0,u_perp,14.5,0.0
0.0,0,u_perp,15.5,0.0
0.0,0,u_perp,16.5,0.0
0.0,0,u_perp,17.5,0.0
0.0,0,u_perp,18.5,0.0
0.0,0,u_perp,19.5,0.0
0.0,0,u_perp,20.5,0.0
0.0,0,u_perp,21.5,0.0
0.0,0,u_perp,22.5,0.0
0.0,0,u_perp,23.5,0.0
0.0,0,u_perp,24.5,0.0
0.0,0,u_perp,25.5,0.0
0.0,0,u_perp,26.5,0.0
0.0,0,u_perp,27.5,0.0
0.0,0,u_perp,28.5,0.0
0.0,0,u_perp,29.5,0.0
0.0,0,u_perp,30.5,0.0
0.0,0,u_perp,31.5,0.0
0.0,0,u_perp,32.5,0.0
0.0,0,u_perp,33.5,0.0
0.0,0,u_perp,34.5,0.0
0.0,0,u_perp,35.5,0.0
0.0,0,u_perp,36.5,0.0
0.0,0,u_perp,37.5,0.0
0.0,0,u_perp,38.5,0.0
0.0,0,u_perp,39.5,0.0
0.0,0,u_perp,40.5,0.0
0.0,0,u_perp,41.5,0.0
0.0,0,u_perp,42.5,0.0
0.0,0,u_perp,43.5,0.0
0.0,0,u_perp,44.5,0.0
0.0,0,u_perp,45.5,0.0
0.0,0,b_perp,0.5,0.0
0.0,0,b_perp,1.5,0.0
0.0,0,b_perp,2.5,0.0
0.0,0,b_perp,3.5,0.0
0.0,0,b_perp,4.5,0.0
0.0,0,b_perp,5.5,0.0
0.0,0,b_perp,6.5,0.0
0.0,0,b_perp,7.5,0.0
0.0,0,b_perp,8.5,0.0
0.0,0,b_perp,9.5,0.0
0.0,0,b_perp,10.5,0.0
0.0,0,b_perp,11.5,0.0
0.0,0,b_perp,12.5,0.0
0.0,0,b_perp,13.5,0.0
0.0,0,b_perp,14.5,0.0
0.0,0,b_perp,15.5,0.0
0.0,0,b_perp,16.5,0.0
0.0,0,b_perp,17.5,0.0
0.0,0,b_perp,18.5,0.0
0.0,0,b_perp,19.5,0.0
0.0,0,b_perp,20.5,0.0
0.0,0,b_perp,21.5,0.0
0.0,0,b_perp,22.5,0.0
0.0,0,b_perp,23.5,0.0
0.0,0,b_perp,24.5,0.0
0.0,0,b_perp,25.5,0.0
0.0,0,b_perp,26.5,0.0
0.0,0,b_perp,27.5,0.0
0.0,0,b_perp,28.5,0.0
0.0,0,b_perp,29.5,0.0
0.0,0,b_perp,30.5,0.0
0.0,0,b_perp,31.5,0.0
0.0,0,b_perp,32.5,0.0
0.0,0,b_perp,33.5,0.0
0.0,0,b_perp,34.5,0.0
0.0,0,b_perp,35.5,0.0
0.0,0,b_perp,36.5,0.0
0.0,0,b_perp,37.5,0.0
